feature,direction,quantile_scope,quantile,threshold_w,bit_index,bit_name,pooled_activation,entropy_bits,dominant_value_rate,is_constant,threshold_duplicate_count,exact_output_duplicate_count,exact_output_duplicate_of,H1_activation,H3_activation,H5_activation,H6_activation,max_house_activation_gap
mean_4,ge,pooled_all,0.75,362.4968795776367,17,mean_4:ge:q750,0.2500009131386035,0.8112795717463694,0.7499990868613965,False,0,0,,0.21994305971749242,0.2957158007872278,0.2932429477367155,0.2448791165471059,0.07577274106973539
mean_4,ge,pooled_all,0.9,693.6274963378906,18,mean_4:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.09437527734704154,0.14350181147815194,0.23310736934178877,0.06468211360606674,0.16842525573572203
mean_4,ge,pooled_all,0.99,4225.931933593754,19,mean_4:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.01661339941464193,0.015203604450043774,0.0003644580508783439,1.5561053794562967e-05,0.016597838360847366
residual_4,positive_ge,positive_magnitude,0.5,0.6274986267089844,20,residual_4:positive_ge:q500,0.23182945492930482,0.7811868472820747,0.7681705450706952,False,0,0,,0.2188860247007145,0.18535443046984548,0.12690429331583936,0.28662942387791834,0.159725130562079
residual_4,positive_ge,positive_magnitude,0.9,3.8149871826171875,21,residual_4:positive_ge:q900,0.046356394344384745,0.27071275681338997,0.9536436056556152,False,0,0,,0.039374554374978186,0.05352579843835636,0.049930752970333114,0.0481407134224463,0.014151244063378171
residual_4,positive_ge,positive_magnitude,0.99,157.49693817138694,22,residual_4:positive_ge:q990,0.00463691782848335,0.04262237782629405,0.9953630821715167,False,0,0,,0.005718958321907051,0.007516388716875574,0.0037174721189591076,0.0014783001104834818,0.006038088606392092
residual_4,positive_ge,positive_magnitude,0.999,2369.437463866994,23,residual_4:positive_ge:q999,0.00046387441056903143,0.005806009140132047,0.999536125589431,False,0,0,,0.0007229720633622689,0.0007188970268981373,0.00029156644070267514,2.0748071726083957e-05,0.0007022239916361849
residual_4,negative_ge,negative_magnitude,0.5,0.6724967956542969,24,residual_4:negative_ge:q500,0.26812671441772806,0.8387637275299573,0.7318732855822719,False,0,0,,0.25450611036043896,0.22506459396553566,0.15999708433559298,0.3213720699832459,0.16137498564765293
residual_4,negative_ge,negative_magnitude,0.9,3.8825016021728516,25,residual_4:negative_ge:q900,0.05361219368765546,0.3015475081183474,0.9463878063123445,False,0,0,,0.05261242215585283,0.06282163524161347,0.056272323055616295,0.047751687077582226,0.01506994816403124
residual_4,negative_ge,negative_magnitude,0.99,138.29999771118221,26,residual_4:negative_ge:q990,0.005361949879648332,0.04816021253317156,0.9946380501203517,False,0,0,,0.006102881417623566,0.008683706661541855,0.004592171441067133,0.0022252306926225044,0.006458475968919351
residual_4,negative_ge,negative_magnitude,0.999,2183.085296630866,27,residual_4:negative_ge:q999,0.0005369254988476191,0.006607028331777271,0.9994630745011523,False,0,0,,0.0007279580775923535,0.0010036087207191818,0.0005102412712296814,0.0,0.0010036087207191818
range_4,ge,pooled_all,0.1,0.5699920654296875,28,range_4:ge:q100,0.9001081156106523,0.46865278149510514,0.9001081156106523,False,0,0,,0.8998110300606798,0.8400987949577559,0.6389678547999126,0.9627312761620217,0.3237634213621091
range_4,ge,pooled_all,0.25,1.029998779296875,29,range_4:ge:q250,0.7507551656250799,0.8100790198313323,0.7507551656250799,False,0,0,,0.7289054202960695,0.6342308869481041,0.42495808732414897,0.8815855676413074,0.4566274803171584
range_4,ge,pooled_all,0.5,2.07000732421875,30,range_4:ge:q500,0.5005953663694704,0.9999989772411759,0.5005953663694704,False,0,0,,0.4779194359820703,0.36166214686852727,0.2673664261243531,0.6420283314919419,0.37466190536758887
range_4,ge,pooled_all,0.75,4.329986572265625,31,range_4:ge:q750,0.2501963247997487,0.8115891436467988,0.7498036752002513,False,0,0,,0.2215734863707301,0.21144113941619866,0.19228806764341425,0.31233628474653635,0.1200482171031221
range_4,ge,pooled_all,0.9,9.600006103515625,32,range_4:ge:q900,0.10001972379383522,0.4690581134186159,0.8999802762061648,False,0,0,,0.09892252232487872,0.12004156790729788,0.11298199577228661,0.08564804008527457,0.034393527822023304
range_4,ge,pooled_all,0.99,392.1568310546892,33,range_4:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.01133819635921241,0.016221448755454008,0.008090968729499234,0.0042118585603950435,0.012009590195058964
mean_16,ge,pooled_all,0.1,127.80006561279298,34,mean_16:ge:q100,0.8999985389782345,0.469000224901595,0.8999985389782345,False,0,0,,0.7846041852603447,0.9177396738627547,1.0,1.0,0.2153958147396553
mean_16,ge,pooled_all,0.25,166.9187469482422,35,mean_16:ge:q250,0.7500100445246383,0.8112622038760879,0.7500100445246383,False,0,0,,0.6974336984757754,0.6433131899809955,1.0,0.8646707021666173,0.3566868100190045
mean_16,ge,pooled_all,0.5,258.6756286621094,36,mean_16:ge:q500,0.500001826277207,0.9999999999903764,0.500001826277207,False,0,0,,0.44598900085260845,0.4429900422085086,0.6206720606458197,0.589151870698017,0.17768201843731107
mean_16,ge,pooled_all,0.75,363.1742172241211,37,mean_16:ge:q750,0.2500009131386035,0.8112795717463694,0.7499990868613965,False,0,0,,0.22114468914694282,0.29776572498273934,0.29973030104235004,0.24167353946542594,0.07858561189540722
mean_16,ge,pooled_all,0.9,712.742749023438,38,mean_16:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.09601567602873938,0.1429466236752009,0.23682484146074786,0.0631156341907474,0.17370920727000047
mean_16,ge,pooled_all,0.99,4009.9238500976658,39,mean_16:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.017376259591844877,0.012890321937747789,0.012027115678985349,7.780526897281484e-05,0.01729845432287206
residual_16,positive_ge,positive_magnitude,0.5,1.1081390380859375,40,residual_16:positive_ge:q500,0.20048323294896286,0.7228935086403498,0.7995167670510371,False,0,0,,0.19514761095128166,0.18968916600827088,0.11997959034915082,0.21962871325646172,0.0996491229073109
residual_16,positive_ge,positive_magnitude,0.9,16.32506656646738,41,residual_16:positive_ge:q900,0.04009774235611675,0.24274015479520364,0.9599022576438833,False,0,0,,0.04201714191692303,0.06401742435566185,0.04971207813980611,0.019985580090150373,0.044031844265511474
residual_16,positive_ge,positive_magnitude,0.99,1294.213894042969,42,residual_16:positive_ge:q990,0.004010504746494461,0.03770595816202697,0.9959894952535056,False,0,0,,0.005230328927358759,0.007082203383798481,0.002696989576499745,0.0005965070621249137,0.006485696321673567
residual_16,positive_ge,positive_magnitude,0.999,4110.794084472648,43,residual_16:positive_ge:q999,0.00040178098553223196,0.005112144047706192,0.9995982190144678,False,0,0,,0.00045372729493769977,0.0008612528738086595,0.00029156644070267514,2.0748071726083957e-05,0.0008405048020825755
residual_16,negative_ge,negative_magnitude,0.5,1.1468849182128906,44,residual_16:negative_ge:q500,0.29952041960545106,0.8807038735119589,0.7004795803945489,False,0,0,,0.270890153120497,0.2756436263728442,0.19454770755885997,0.35417477138218467,0.1596270638233247
residual_16,negative_ge,negative_magnitude,0.9,9.706237411499023,45,residual_16:negative_ge:q900,0.05990371866564882,0.3270625996099859,0.9400962813343512,False,0,0,,0.06458384232228599,0.08627476102012199,0.08324221882061375,0.03415651307906571,0.05211824794105628
residual_16,negative_ge,negative_magnitude,0.99,789.2973858642542,46,residual_16:negative_ge:q990,0.0059920155160511504,0.05285620990079222,0.9940079844839489,False,0,0,,0.00825683956502012,0.009687315382261037,0.005685545593702165,0.000964785335262904,0.008722530046998134
residual_16,negative_ge,negative_magnitude,0.999,3888.7934174804777,47,residual_16:negative_ge:q999,0.0006008452010913833,0.00729605159985389,0.9993991547989086,False,0,0,,0.0010470629883177686,0.0008470172891176073,0.0,0.0,0.0010470629883177686
range_16,ge,pooled_all,0.1,1.7199935913085938,48,range_16:ge:q100,0.9000569798488574,0.46881494571517884,0.9000569798488574,False,0,0,,0.8689276579195357,0.8471881161338999,0.554559370216488,0.9955547256326865,0.4409953554161985
range_16,ge,pooled_all,0.25,2.839996337890625,49,range_16:ge:q250,0.7501963247997487,0.8109668087039179,0.7501963247997487,False,0,0,,0.7176669442214588,0.6009623255251151,0.37116407901450543,0.9197620196173019,0.5485979406027964
range_16,ge,pooled_all,0.5,5.220001220703125,50,range_16:ge:q500,0.5001223605728666,0.9999999567996225,0.5001223605728666,False,0,0,,0.386625515429221,0.44736036670866164,0.29411764705882354,0.6713038606974464,0.37718621363862287
range_16,ge,pooled_all,0.75,10.970001220703125,51,range_16:ge:q750,0.25006483284084724,0.8113808659107531,0.7499351671591528,False,0,0,,0.20946245780585457,0.30817905518424404,0.2540272614622057,0.2496719211158313,0.09871659737838948
range_16,ge,pooled_all,0.9,38.68907470703148,52,range_16:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.10581818000508574,0.15402902635718504,0.13718201035060865,0.05193242353038814,0.1020966028267969
range_16,ge,pooled_all,0.99,1994.896821289064,53,range_16:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.011707161412238671,0.018577438021823153,0.012318682119688024,0.0018102692581008252,0.016767168763722327
mean_64,ge,pooled_all,0.1,129.48150787353515,54,mean_64:ge:q100,0.8999985389782345,0.469000224901595,0.8999985389782345,False,0,0,,0.7899292484580751,0.9101378716377329,1.0,1.0,0.2100707515419249
mean_64,ge,pooled_all,0.25,167.47921752929688,55,mean_64:ge:q250,0.7500009131386035,0.8112766771654805,0.7500009131386035,False,0,0,,0.6966808103270327,0.6635988981657449,1.0,0.8506450056797846,0.3364011018342551
mean_64,ge,pooled_all,0.5,258.52772521972656,56,mean_64:ge:q500,0.5,1.0,0.5,False,0,0,,0.44931467234407485,0.4306264369043298,0.6285443545447919,0.5941365949302087,0.19791791764046207
mean_64,ge,pooled_all,0.75,364.4921875,57,mean_64:ge:q750,0.2500009131386035,0.8112795717463694,0.7499990868613965,False,0,0,,0.22647972437313335,0.30427850497889575,0.310955609009403,0.23057850810990255,0.08447588463626965
mean_64,ge,pooled_all,0.9,745.157214355469,58,mean_64:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.10146040356799178,0.1393521385407102,0.23383628544354546,0.06028352240013694,0.17355276304340853
mean_64,ge,pooled_all,0.99,3785.7751806640645,59,mean_64:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.018433294608622815,0.007587566640330835,0.03644580508783439,0.0011048348194139708,0.03534097026842042
residual_64,positive_ge,positive_magnitude,0.5,3.067497968673706,60,residual_64:positive_ge:q500,0.1827701703186123,0.6860997906213976,0.8172298296813877,False,0,0,,0.17005798734549588,0.23686589367441793,0.1524163568773234,0.15873312274040532,0.08444953679709452
residual_64,positive_ge,positive_magnitude,0.9,137.9921600341797,61,residual_64:positive_ge:q900,0.03655476457460525,0.226266527377196,0.9634452354253947,False,0,0,,0.04946126116243936,0.04424419721979031,0.04891027042787375,0.016645140542250855,0.0328161206201885
residual_64,positive_ge,positive_magnitude,0.99,2248.503764648428,62,residual_64:positive_ge:q990,0.003656206968343311,0.034863728529738694,0.9963437930316567,False,0,0,,0.004811503732031651,0.006448719865046657,0.0037903637291347766,0.00040977441659015816,0.006038945448456499
residual_64,positive_ge,positive_magnitude,0.999,4508.4161816406095,63,residual_64:positive_ge:q999,0.00036708171859990284,0.004718483581416971,0.9996329182814001,False,0,0,,0.0007877902483533688,0.0002491227320934139,0.00029156644070267514,2.0748071726083957e-05,0.0007670421766272849
residual_64,negative_ge,negative_magnitude,0.5,1.9793767929077148,64,residual_64:negative_ge:q500,0.31723165595859465,0.9013455420385279,0.6827683440414054,False,0,0,,0.2663229640857395,0.3638544269109493,0.29083752460091844,0.3380950157944696,0.0975314628252098
residual_64,negative_ge,negative_magnitude,0.9,82.00894165039078,65,residual_64:negative_ge:q900,0.06344669644716032,0.34097772412944233,0.9365533035528397,False,0,0,,0.07527884284581748,0.09263094958467681,0.062249435090021135,0.029955028554533712,0.0626759210301431
residual_64,negative_ge,negative_magnitude,0.99,1579.007705078126,66,residual_64:negative_ge:q990,0.006346313294202301,0.05545391402080581,0.9936536867057977,False,0,0,,0.007763224156241742,0.010804808780508638,0.01020482542459363,0.0013486246621954572,0.00945618411831318
residual_64,negative_ge,negative_magnitude,0.999,3883.201701660151,67,residual_64:negative_ge:q999,0.0006355444680237124,0.0076659092841734906,0.9993644555319763,False,0,0,,0.0014858322405652145,0.00035588961727630556,0.0,0.0,0.0014858322405652145
range_64,ge,pooled_all,0.1,4.800018310546875,68,range_64:ge:q100,0.9000040178098553,0.46898285730398426,0.9000040178098553,False,0,0,,0.9333170456868484,0.8032998085313859,0.529922005977112,0.9621555171716228,0.4322335111945108
range_64,ge,pooled_all,0.25,6.209991455078125,69,range_64:ge:q250,0.7502511131159576,0.8108798769375963,0.7502511131159576,False,0,0,,0.6148852468824946,0.7703373121792545,0.45236533275020047,0.8976342011214333,0.44526886837123286
range_64,ge,pooled_all,0.5,11.449996948242188,70,range_64:ge:q500,0.5000913138603482,0.9999999759409794,0.5000913138603482,False,0,0,,0.3523765836827698,0.66129985123814,0.4041110868139077,0.5431118995378367,0.30892326755537014
range_64,ge,pooled_all,0.75,43.8800048828125,71,range_64:ge:q750,0.25003195985112187,0.8113287756951613,0.7499680401488782,False,0,0,,0.2556179915337478,0.36539187005758295,0.3261899555361178,0.15473393191520263,0.21065793814238032
range_64,ge,pooled_all,0.9,322.780029296875,72,range_64:ge:q900,0.10004894422914665,0.46915072392754564,0.8999510557708533,False,0,0,,0.1212498940471976,0.14809990533336181,0.13419345433340624,0.04054691917069957,0.10755298616266223
range_64,ge,pooled_all,0.99,5244.735693359389,73,range_64:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.020372854144125728,0.007608920017367413,0.009475909322836942,0.000990720424920509,0.01938213371920522
mean_256,ge,pooled_all,0.1,135.53927459716797,74,mean_256:ge:q100,0.8999985389782345,0.469000224901595,0.8999985389782345,False,0,0,,0.7806801920612682,0.9233413764386837,1.0,1.0,0.21931980793873185
mean_256,ge,pooled_all,0.25,172.46866607666016,75,mean_256:ge:q250,0.7499990868613965,0.8112795717463694,0.7499990868613965,False,0,0,,0.6344254366501962,0.7188472023517186,1.0,0.8751432913703583,0.36557456334980376
mean_256,ge,pooled_all,0.5,256.01060485839844,76,mean_256:ge:q500,0.5,1.0,0.5,False,0,0,,0.4526702599209218,0.4005537642444819,0.6496829214957358,0.6110566474228302,0.2491291572512539
mean_256,ge,pooled_all,0.75,374.3713684082031,77,mean_256:ge:q750,0.2500009131386035,0.8112795717463694,0.7499990868613965,False,0,0,,0.2438659559934384,0.3237599026286007,0.3354471900284277,0.19655167047912483,0.13889551954930288
mean_256,ge,pooled_all,0.9,767.273553466797,78,mean_256:ge:q900,0.10000146102176558,0.469000224901595,0.8999985389782345,False,0,0,,0.10076734759001002,0.13346572427096012,0.23106640425687003,0.06549128840338402,0.165575115853486
mean_256,ge,pooled_all,0.99,3549.81053466797,79,mean_256:ge:q990,0.010000693985338647,0.08079773653711883,0.9899993060146614,False,0,0,,0.017052168666889377,0.00819969678204608,0.058823529411764705,0.0005031407393575359,0.05832038867240717
residual_256,positive_ge,positive_magnitude,0.5,43.365272521972656,80,residual_256:positive_ge:q500,0.19726715878749804,0.7164286257889796,0.802732841212502,False,0,0,,0.19180698141712496,0.2748321980454542,0.24994533129236826,0.14267411522441634,0.1321580828210379
residual_256,positive_ge,positive_magnitude,0.9,330.6789855957031,81,residual_256:positive_ge:q900,0.03945489277926518,0.2397872866123966,0.9605451072207348,False,0,0,,0.04778097436690084,0.05110574904087748,0.09009403017712661,0.018699199643133168,0.07139483053399344
residual_256,positive_ge,positive_magnitude,0.99,2754.272119140642,82,residual_256:positive_ge:q990,0.003946585044250697,0.03719665826973111,0.9960534149557493,False,0,0,,0.006387084228738389,0.005900649854441146,0.0021138566950943947,0.00011411439449346177,0.006272969834244927
residual_256,positive_ge,positive_magnitude,0.999,5121.285722656257,83,residual_256:positive_ge:q999,0.0003963021539113379,0.005050284702886936,0.9996036978460887,False,0,0,,0.000992216831786838,7.829571580078722e-05,0.00029156644070267514,1.5561053794562967e-05,0.000976655777992275
residual_256,negative_ge,negative_magnitude,0.5,11.516237258911133,84,residual_256:negative_ge:q500,0.30273466748970895,0.8846080921428012,0.6972653325102911,False,0,0,,0.2849407412208754,0.43779405379627456,0.29856403527953934,0.22311957632437535,0.21467447747189922
residual_256,negative_ge,negative_magnitude,0.9,269.9747314453125,85,residual_256:negative_ge:q900,0.06054839451970736,0.32961800503581445,0.9394516054802926,False,0,0,,0.08052911583009657,0.08422483682461047,0.07631751585392521,0.021386074931661038,0.06283876189294943
residual_256,negative_ge,negative_magnitude,0.99,1994.5395629882871,86,residual_256:negative_ge:q990,0.006055935218294914,0.053327065319751614,0.993944064781705,False,0,0,,0.0072945388186137885,0.00819969678204608,0.016254829069174137,0.002479394571267033,0.013775434497907104
residual_256,negative_ge,negative_magnitude,0.999,3930.9738623046596,87,residual_256:negative_ge:q999,0.0006063240327122773,0.007354638336572038,0.9993936759672877,False,0,0,,0.0016553567243880914,0.0,0.0,0.0,0.0016553567243880914
range_256,ge,pooled_all,0.1,7.58001708984375,88,range_256:ge:q100,0.9001665564812752,0.4684673995814719,0.9001665564812752,False,0,0,,0.745314393127278,0.9974945370943749,0.8321306217654348,0.9951760733236855,0.25218014396709687
range_256,ge,pooled_all,0.25,15.1300048828125,89,range_256:ge:q250,0.7500684853952612,0.8111695596304329,0.7500684853952612,False,0,0,,0.6110111138257188,0.9889745396567801,0.7331438151468765,0.7218357893863239,0.37796342583106124
range_256,ge,pooled_all,0.5,136.77996826171875,90,range_256:ge:q500,0.5002867255214934,0.9999997627876691,0.5002867255214934,False,0,0,,0.5050533254221907,0.6303588079121379,0.5621400976747576,0.3961377464481895,0.23422106146394844
range_256,ge,pooled_all,0.75,287.760009765625,91,range_256:ge:q750,0.2502894649373039,0.8117365932573327,0.749710535062696,False,0,0,,0.2768683841823685,0.35250154811983514,0.3689044390990597,0.13971232798551786,0.22919211111354182
range_256,ge,pooled_all,0.9,1562.3699951171875,92,range_256:ge:q900,0.10004346539752576,0.46913336049933263,0.8999565346024743,False,0,0,,0.14537223089234697,0.10130753845387315,0.22895254756177563,0.04279289793504816,0.18615964962672749
range_256,ge,pooled_all,0.99,6133.72021484375,93,range_256:ge:q990,0.010050003469926693,0.08112444484639195,0.9899499965300733,False,0,0,,0.01970472823729439,0.004590976062864342,0.0287192944092135,0.0026557531809387465,0.026063541228274752
