feature,kind,house,fridge_state,count,mean,std,min,p01,p10,p25,p50,p75,p90,p99,max
mean_4,nonnegative,H1,ON,49782,675.0435366689367,1082.5220893760672,106.03500366210938,267.30501739501955,274.7010101318359,290.822509765625,358.3762512207031,498.2000045776367,1253.1661865234378,6332.020527343766,11755.474609375
mean_4,nonnegative,H3,OFF,85437,361.6021292087147,675.5789729863681,106.52249908447266,108.20340026855469,124.95800018310547,133.01499938964844,146.55250549316406,324.99749755859375,683.469470214844,5232.86439453125,6326.79736328125
mean_4,nonnegative,H3,ON,55056,580.6671149096701,794.6321330871424,108.77249908447266,225.45524368286132,243.80249786376953,255.875,291.8712615966797,621.0431060791016,1039.760009765625,5455.354956054687,7579.1650390625
mean_4,nonnegative,H5,OFF,7288,752.8824502147252,1172.2086955325576,172.42999267578125,173.28370239257814,175.48175201416015,176.29937744140625,178.2324981689453,383.79249572753906,3656.135302734375,3870.346193847656,3895.635009765625
mean_4,nonnegative,H5,ON,6431,918.6983824492502,1155.228451978386,172.52000427246094,302.4099945068359,306.91998291015625,310.5262451171875,320.697509765625,747.97998046875,3454.942626953125,4122.24365234375,9868.0
mean_4,nonnegative,H6,OFF,95226,345.22322757023835,561.191198446757,159.29750061035156,161.97250366210938,164.63999938964844,166.52999877929688,203.99625396728516,222.79437255859375,435.9725036621094,3027.6687622070312,3526.27734375
mean_4,nonnegative,H6,ON,97563,495.4694041544828,572.468616254564,164.6074981689453,295.81905639648437,307.46799926757814,311.6449890136719,345.2850036621094,375.1812438964844,595.5835205078125,3253.9617578125,4353.9404296875
residual_4,signed,pooled,OFF,338730,-0.42045407348563874,118.15140422043815,-5990.81201171875,-46.48719436645508,-1.9324916839599608,-0.6349945068359375,-0.04249763488769531,0.5050048828125,1.7725116729736332,13.292409667968755,5485.4375
residual_4,signed,pooled,ON,208832,0.6087674965273249,135.24013479980198,-6591.18017578125,-72.4107243347168,-2.462516021728516,-0.9300003051757812,-0.13000869750976562,0.6175003051757812,2.0500106811523438,72.20777687072766,8824.16796875
residual_4,signed,H1,OFF,150779,-0.43140994316293674,133.82353533945505,-5990.81201171875,-35.322998428344725,-1.7725067138671875,-0.6150035858154297,-0.032501220703125,0.49250030517578125,1.6549911499023438,12.611668395996102,4847.3623046875
residual_4,signed,H1,ON,49782,1.005110438209782,183.7923012061413,-4293.634765625,-222.13796997070312,-2.7625396728515623,-0.9150009155273438,-0.14501190185546875,0.5349884033203125,1.875,164.68576828002958,5073.41259765625
residual_4,signed,H3,OFF,85437,-0.33835078941688795,147.67911443198773,-3435.705078125,-90.85209747314452,-1.5825042724609375,-0.4300117492675781,-0.037502288818359375,0.3325080871582031,1.1175029754638672,54.29651062011717,4376.97509765625
residual_4,signed,H3,ON,55056,0.5277028632213182,175.4731475979529,-3451.55517578125,-139.60198974609372,-2.579998016357422,-0.8474960327148438,-0.139984130859375,0.5050010681152344,1.9575042724609375,108.78201179504305,4207.93017578125
residual_4,signed,H5,OFF,7288,-2.8945169925124876,101.54937849860615,-2744.1474609375,-64.07640762329102,-1.265936279296874,-0.20568180084228516,-0.0124969482421875,0.16062068939208984,0.5525066375732421,14.791704711914067,5485.4375
residual_4,signed,H5,ON,6431,2.898714785959382,192.41961039396128,-6591.18017578125,-25.750291442871095,-1.8375015258789062,-0.5175018310546875,-0.08249664306640625,0.3237495422363281,1.56005859375,85.51682739257777,8824.16796875
residual_4,signed,H6,OFF,95226,-0.2874207911157073,30.711578892240155,-1562.43994140625,-10.389350891113281,-2.3174972534179688,-0.9543666839599609,-0.08250045776367188,0.8725090026855469,2.3449974060058594,7.538124084472656,4753.24267578125
residual_4,signed,H6,ON,97563,0.3013322916865739,45.78500313143414,-1544.4473876953125,-10.064326171875,-2.3774948120117188,-1.0150108337402344,-0.12250518798828125,0.762481689453125,2.152510070800781,11.53187881469729,5496.2275390625
range_4,nonnegative,pooled,OFF,338730,20.167299301543366,223.49405813921385,0.0,0.1199798583984375,0.48999786376953125,0.8800048828125,1.850006103515625,4.1399993896484375,8.47021484375,196.75838653564537,8758.3701171875
range_4,nonnegative,pooled,ON,208832,29.234799875790323,260.39192538867553,0.0,0.199981689453125,0.780029296875,1.32000732421875,2.3599853515625,4.749969482421875,11.2802734375,716.9952142333987,11766.291015625
range_4,nonnegative,H1,OFF,150779,22.147004821359225,251.85444493556778,0.0,0.1199951171875,0.529998779296875,0.899993896484375,1.790008544921875,3.9099884033203125,7.399920654296876,202.19638854980482,8758.3701171875
range_4,nonnegative,H1,ON,49782,47.684156445508485,351.6556886345941,0.0,0.16002838134765626,0.749969482421875,1.25,2.230010986328125,4.480003356933594,15.469973754882814,1488.760887451172,6767.919921875
range_4,nonnegative,H3,OFF,85437,31.462406795904354,277.89503393914373,0.0,0.0800018310546875,0.3600006103515625,0.6200103759765625,1.1400146484375,2.5299911499023438,9.914019775390711,987.0700073242188,5880.47021484375
range_4,nonnegative,H3,ON,55056,44.281371507281214,334.0443718405371,0.0,0.1599884033203125,0.660003662109375,1.1099853515625,1.91998291015625,4.5499267578125,16.200103759765625,1041.3074645996037,6440.0703125
range_4,nonnegative,H5,OFF,7288,17.280999542721453,214.42395973475982,0.0,0.04000656127929687,0.1699981689453125,0.300018310546875,0.5300064086914062,1.38995361328125,9.843261718750002,153.25,7314.2099609375
range_4,nonnegative,H5,ON,6431,30.422304009002087,361.9531315134772,0.009979248046875,0.1099853515625,0.420013427734375,0.719970703125,1.209991455078125,3.259857177734375,13.18017578125,386.5309570312492,11766.291015625
range_4,nonnegative,H6,OFF,95226,7.1195732086093075,64.37567414331035,0.0,0.260009765625,0.8899993896484375,1.55999755859375,2.9499969482421875,5.190013885498047,8.619979858398438,56.584999084472656,6340.55029296875
range_4,nonnegative,H6,ON,97563,11.251683780777295,99.01750330826836,0.0,0.279998779296875,0.990020751953125,1.6199951171875,2.72998046875,4.94000244140625,9.30999755859375,163.9487908935559,7329.22998046875
mean_16,nonnegative,pooled,OFF,338730,357.74976443095125,684.2327154150393,92.19625091552734,94.77937316894531,102.95799865722658,139.39889907836914,171.42686462402344,256.7618713378906,572.6724243164072,3697.211015625002,11750.7373046875
mean_16,nonnegative,pooled,ON,208832,571.0551528538292,781.33759965909,105.15999603271484,225.61577651977538,263.0744354248047,306.29671478271484,344.6890563964844,474.2706298828125,847.1456542968749,4354.547031250012,9889.3408203125
mean_16,nonnegative,H1,OFF,150779,342.07776223875777,738.8520970248726,92.19625091552734,94.17749786376953,96.71312713623047,106.72156524658203,170.40687561035156,276.3790588378906,520.3457519531256,4952.278769531255,11750.7373046875
mean_16,nonnegative,H1,ON,49782,670.419144985105,1047.5016080688104,105.15999603271484,238.125428314209,274.0826141357422,289.2596893310547,358.2268829345703,498.07828521728516,1294.9561523437535,6256.475947265625,9889.3408203125
mean_16,nonnegative,H3,OFF,85437,363.1794848270011,640.4001026018549,106.86187744140625,108.3473257446289,125.61112670898437,133.57749938964844,147.24061584472656,331.61749267578125,711.7133666992224,4356.153984374996,6013.3876953125
mean_16,nonnegative,H3,ON,55056,578.2985292140636,753.1607561776924,108.44499969482422,188.86503372192382,240.34593963623047,254.84468841552734,291.5906219482422,625.9009094238281,1050.8349609375,5068.91899414062,7504.2958984375
mean_16,nonnegative,H5,OFF,7288,765.3537348235348,1176.4543199487318,172.62437438964844,173.2947541809082,175.6191864013672,176.3904685974121,178.33250427246094,570.0415496826172,3659.256030273438,3865.271748046875,3886.626953125
mean_16,nonnegative,H5,ON,6431,906.6096670381797,1130.145127800048,172.54437255859375,267.10186462402345,306.7956237792969,310.3171844482422,320.9112548828125,747.6781311035156,3155.161865234375,4125.209814453125,4898.0419921875
mean_16,nonnegative,H6,OFF,95226,346.49750203242854,560.2165128363487,159.92312622070312,162.22436904907227,164.78500366210938,166.61062622070312,207.7203140258789,223.86468124389648,437.275634765625,3028.53466796875,3218.554443359375
mean_16,nonnegative,H6,ON,97563,494.1481218493728,569.3480726908966,164.69500732421875,293.33856018066405,307.3631286621094,311.48374938964844,344.525634765625,374.7431182861328,596.43798828125,3255.143730468751,4125.50830078125
residual_16,signed,pooled,OFF,338730,-2.237698396805599,260.4681521566471,-7996.2265625,-283.6281698608398,-3.6037370681762697,-1.211877703666687,-0.2075033187866211,0.6675069332122803,2.8600049018859863,270.4943200683646,6909.41259765625
residual_16,signed,pooled,ON,208832,3.325147815407407,289.7812695024915,-5254.96435546875,-466.28956085205084,-5.009994316101074,-1.8681397438049316,-0.5543689727783203,0.6768839359283447,5.193060493469234,590.0741149902356,11030.0703125
residual_16,signed,H1,OFF,150779,-2.21253240245326,294.9754335715219,-7996.2265625,-390.61790771484374,-2.914372444152832,-1.093738079071045,-0.17499351501464844,0.6618752479553223,2.713127899169922,437.6632849121097,6339.38916015625
residual_16,signed,H1,ON,49782,5.6295022842830615,387.91010784201063,-5254.96435546875,-974.3379211425781,-7.147239875793456,-1.7442145347595215,-0.6262359619140625,0.5206184387207031,7.578947830200211,1161.2676513671956,6342.609375
residual_16,signed,H3,OFF,85437,-1.9157063537781744,328.0641713800769,-4412.646484375,-558.8446801757813,-6.449989318847655,-0.9587430953979492,-0.16499805450439453,0.5199966430664062,2.596500396728521,745.0545654296869,5663.0263671875
residual_16,signed,H3,ON,55056,2.896288528636243,398.49982097531773,-4942.2431640625,-1106.2574340820313,-7.2568769454956055,-2.2256393432617188,-0.4628148078918457,0.8176674842834473,16.755311012268066,1084.4472595214756,5251.57080078125
residual_16,signed,H5,OFF,7288,-15.365801144898738,196.42598040504677,-3429.67431640625,-501.67152923583967,-10.218805980682372,-0.3670318126678467,-0.04311943054199219,0.1951594352722168,0.6973100662231455,71.79596458435067,6909.41259765625
residual_16,signed,H5,ON,6431,14.987430923519945,291.8371297660555,-3570.435546875,-86.50116577148438,-5.27508544921875,-0.9893598556518555,-0.3143577575683594,0.32375526428222656,7.522487640380859,414.5144683837867,11030.0703125
residual_16,signed,H6,OFF,95226,-1.5616952549586514,63.46661745051787,-2036.4893798828125,-92.13717842102051,-3.0740609169006348,-1.561877965927124,-0.40531349182128906,0.97312331199646,3.290928840637207,16.933281421661377,5943.68212890625
residual_16,signed,H6,ON,97563,1.6226146835298891,87.86530413863647,-2210.556884765625,-65.49252426147461,-3.623746871948242,-1.8793830871582031,-0.5993919372558594,0.7087545394897461,3.433755111694336,116.68371917724636,6866.7021484375
range_16,nonnegative,pooled,OFF,338730,78.3449404632845,491.60902014593984,0.2599945068359375,0.8300018310546875,1.480010986328125,2.3899993896484375,4.8899993896484375,9.520004272460938,28.822003173828822,1754.7301025390625,10333.3798828125
range_16,nonnegative,pooled,ON,208832,113.07499761567539,556.539486683542,0.610015869140625,1.470001220703125,2.3699951171875,3.45001220703125,6.1300048828125,13.249969482421875,86.760009765625,3040.2197265625,11766.291015625
range_16,nonnegative,H1,OFF,150779,89.39555200170174,552.9041309482982,0.4900054931640625,0.9800033569335938,1.4599990844726562,2.1999969482421875,4.510009765625,6.4199981689453125,30.739990234375,2032.64013671875,10333.3798828125
range_16,nonnegative,H1,ON,49782,183.55645384322423,723.1646099700779,0.8499755859375,1.510009765625,2.25,3.1099853515625,4.6199951171875,17.865013122558594,223.61799468994144,5113.175673828125,6772.1298828125
range_16,nonnegative,H3,OFF,85437,122.07969010147914,609.7171833821061,0.32000732421875,0.80999755859375,1.29998779296875,1.8000030517578125,2.8799896240234375,12.47998046875,113.70001220703125,4514.4599609375,6150.0
range_16,nonnegative,H3,ON,55056,183.83380815463855,738.508254643278,0.760009765625,1.360015869140625,2.05999755859375,2.8300018310546875,6.8600311279296875,20.3900146484375,197.280029296875,4864.10009765625,6473.01025390625
range_16,nonnegative,H5,OFF,7288,72.7165764746891,460.43197438558536,0.2599945068359375,0.44000244140625,0.649993896484375,0.80999755859375,1.05999755859375,7.8173828125,58.55596008300783,2022.8567443847655,7417.56005859375
range_16,nonnegative,H5,ON,6431,116.5475109529206,706.0808516532932,0.610015869140625,0.973016357421875,1.41998291015625,1.8049774169921875,2.6099853515625,14.040283203125,64.8599853515625,2929.75,11766.291015625
range_16,nonnegative,H6,OFF,95226,22.039451991222588,144.1911612657614,0.7800140380859375,1.8599853515625,2.959991455078125,4.579986572265625,7.160003662109375,10.4599609375,17.02996826171875,206.77251434326172,6344.81005859375
range_16,nonnegative,H6,ON,97563,36.952526389648945,210.5890408255218,1.069976806640625,2.02001953125,3.04998779296875,4.32000732421875,7.040008544921875,11.52001953125,20.010009765625,877.9121667480478,7329.52001953125
mean_64,nonnegative,pooled,OFF,338730,363.38197534302304,642.3352136857925,92.85093688964844,95.3922332763672,106.71060943603516,143.73382949829102,174.53882598876953,277.7798767089844,617.3643493652351,3578.6152221679913,9649.5263671875
mean_64,nonnegative,pooled,ON,208832,561.9031151920018,739.7733760642056,96.52562713623047,162.36131149291992,251.5637390136719,301.3879699707031,340.06663513183594,474.80887603759766,874.4255859374998,4151.79685546875,9667.9765625
mean_64,nonnegative,H1,OFF,150779,345.84654729137765,682.7881352196044,92.85093688964844,94.16909729003906,96.53715515136719,107.18804550170898,171.0879669189453,294.4501495361328,593.3161132812505,4460.504648437503,9649.5263671875
mean_64,nonnegative,H1,ON,49782,658.9484563512343,997.882691389992,96.52562713623047,144.17229248046874,270.3950531005859,282.67027282714844,355.98155212402344,501.95211029052734,1257.2312500000005,5910.530405273438,9667.9765625
mean_64,nonnegative,H3,OFF,85437,369.8100030182137,576.6386377642003,107.2437515258789,109.42699981689454,126.99781036376953,136.38140869140625,157.6346893310547,338.72235107421875,741.8393188476564,3474.1023632812494,5487.99462890625
mean_64,nonnegative,H3,ON,55056,568.543079769497,676.6517327224624,109.5250015258789,146.53384704589845,224.18280792236328,249.42047119140625,289.3517150878906,630.6931457519531,1072.5597534179688,3893.0861694335927,5925.3486328125
mean_64,nonnegative,H5,OFF,7288,804.4963486479876,1184.5370187020073,173.06625366210938,173.34114120483397,175.77176513671876,176.75046920776367,184.5590591430664,571.6977081298828,3663.777392578125,3863.9621240234374,4007.52001953125
mean_64,nonnegative,H5,ON,6431,864.3193021028969,1069.5431013118791,173.1398468017578,199.81893157958984,304.8790588378906,309.37171936035156,319.68438720703125,745.5093688964844,2418.65771484375,4075.9755859374995,4151.86865234375
mean_64,nonnegative,H6,OFF,95226,351.61986576231186,555.1610478312898,160.5643768310547,162.45784759521484,165.0191421508789,166.7661361694336,210.51031494140625,239.41343688964844,448.05812072753906,3027.9364624023438,3172.853271484375
mean_64,nonnegative,H6,ON,97563,488.7040585681643,559.749738356927,165.09312438964844,218.3706802368164,306.32598876953125,310.90821838378906,341.47515869140625,373.6434326171875,597.480322265625,3256.0193554687507,4013.629150390625
residual_64,signed,pooled,OFF,338730,-7.869909306677081,345.7080882579849,-5545.97509765625,-1074.9451770019532,-50.96876525878906,-2.409020185470581,-0.6187489032745361,0.9951742887496948,4.690324306488042,1029.7520690917975,9253.943359375
residual_64,signed,pooled,ON,208832,12.477185382145631,386.7546620160911,-5960.7626953125,-1216.3967456054688,-8.636391639709473,-3.219698190689087,-1.1196926832199097,2.914245128631592,80.71186370849608,1442.147604980469,9606.7568359375
residual_64,signed,H1,OFF,150779,-5.981317375081736,408.7970135142571,-5545.97509765625,-1208.0477172851563,-39.5644577026367,-1.4849985837936401,-0.5971968173980713,1.0377223491668701,4.180932426452637,1167.9266967773442,9253.943359375
residual_64,signed,H1,ON,49782,17.100190296841635,532.5352127443787,-5960.7626953125,-1865.2490930175782,-15.830201244354244,-3.313773274421692,-1.6618647575378418,9.199419260025024,138.58261871337896,1691.4848510742208,6647.7333984375
residual_64,signed,H3,OFF,85437,-8.546224600725605,383.19487491843796,-4410.890625,-1467.55400390625,-81.91128540039062,-6.610772132873535,-0.5806303024291992,0.8921859264373779,6.548252010345475,1628.3211328124987,5326.45556640625
residual_64,signed,H3,ON,55056,12.65173820741397,492.755065711616,-4344.61669921875,-1892.9663452148436,-38.893985748291016,-4.288904309272766,-0.517428994178772,22.0205135345459,102.4422607421875,2037.2937866210923,5487.46484375
residual_64,signed,H5,OFF,7288,-54.50841561048118,385.90487119378093,-3609.81494140625,-2085.2125537109373,-83.39399566650391,-6.806518197059631,-0.19241690635681152,0.1870320439338684,0.7165623188018807,902.0073870849645,7282.69775390625
residual_64,signed,H5,ON,6431,57.27779576511862,431.7620177955833,-3785.542724609375,-405.8303955078126,-8.302127838134766,-2.2655467987060547,-1.017798900604248,3.5004234313964844,116.29296875,2097.1025634765624,9606.7568359375
residual_64,signed,H6,OFF,95226,-6.684059004598519,131.1627713803147,-2116.434814453125,-148.6082420349121,-16.135249137878418,-2.393276333808899,-0.7839065790176392,1.1763389110565186,4.358431816101074,88.15465354919434,6240.9736328125
residual_64,signed,H6,ON,97563,7.066677952236041,161.20433173959043,-2176.33984375,-150.04551330566406,-6.065694332122803,-3.0004491806030273,-1.155287742614746,1.143587589263916,13.007747650146491,242.7746408081095,7206.74072265625
range_64,nonnegative,pooled,OFF,338730,193.5109670651257,803.3174093030303,0.7700042724609375,1.6800079345703125,4.5000152587890625,5.720008850097656,9.170013427734375,29.55029296875,182.1810211181644,5199.32958984375,11766.291015625
range_64,nonnegative,pooled,ON,208832,294.6172992145215,882.4276755950688,1.1100006103515625,3.300018310546875,5.5599365234375,7.66998291015625,14.80999755859375,135.39999389648438,898.43994140625,5351.97021484375,11766.291015625
range_64,nonnegative,H1,OFF,150779,237.62679935848712,938.5902849458804,2.389984130859375,4.07000732421875,4.9099884033203125,5.470001220703125,6.42999267578125,28.050048828125,241.35003662109375,5672.14990234375,10405.830078125
range_64,nonnegative,H1,ON,49782,502.57506060009285,1175.0801363312592,3.040008544921875,4.339996337890625,5.660003662109375,6.78997802734375,12.1199951171875,233.4499969482422,1608.7901611328125,5838.85009765625,10312.509765625
range_64,nonnegative,H3,OFF,85437,249.49529238665963,860.9608141845781,1.2700042724609375,1.91998291015625,2.829986572265625,4.589996337890625,17.8699951171875,115.6300048828125,334.87994384765625,5054.39990234375,6174.9501953125
range_64,nonnegative,H3,ON,55056,440.5735799890034,1084.2795870837606,2.220001220703125,3.07000732421875,4.69000244140625,12.669967651367188,28.639984130859375,222.32000732421875,1048.0001220703125,5322.8701171875,6710.98974609375
range_64,nonnegative,H5,OFF,7288,310.96682754122986,1219.006180448359,0.7700042724609375,0.970001220703125,1.17999267578125,1.3799896240234375,2.199981689453125,121.07000732421875,430.90997314453125,7417.56005859375,11766.291015625
range_64,nonnegative,H5,ON,6431,332.6388268284656,1020.024837805491,1.1100006103515625,2.339996337890625,3.05999755859375,4.079986572265625,6.8800048828125,136.07998657226562,1286.659912109375,3676.349853515625,11766.291015625
range_64,nonnegative,H6,OFF,95226,64.44020707303869,313.37225802975115,2.360015869140625,3.7100067138671875,6.2499847412109375,7.959991455078125,11.420013427734375,16.180007934570312,135.23001098632812,1820.8199462890625,6346.30029296875
range_64,nonnegative,H6,ON,97563,103.63466526823383,399.37521090523825,2.970001220703125,4.0999755859375,6.100006103515625,7.92999267578125,12.930023193359375,20.839996337890625,187.88998413085938,2051.89990234375,7329.52001953125
mean_256,nonnegative,pooled,OFF,338730,389.1014839856403,613.1170096530652,93.48332214355469,95.5610580444336,118.36901245117191,165.77481079101562,211.41119384765625,326.72644805908203,686.6859802246107,3421.8673999023467,7526.5205078125
mean_256,nonnegative,pooled,ON,208832,517.3727940452856,668.6854346949976,95.55538940429688,130.8126252746582,187.59444122314454,250.16990280151367,314.79588317871094,472.9122085571289,864.4490844726563,3707.2128540039066,7475.05517578125
mean_256,nonnegative,H1,OFF,150779,368.4099406827552,640.6945608392808,93.48332214355469,94.86691741943359,97.42581024169922,132.06859588623047,176.5896453857422,330.0986328125,673.5532348632815,3988.4836669921897,7526.5205078125
mean_256,nonnegative,H1,ON,49782,586.1226124841074,897.8904493545673,95.55538940429688,112.51058769226074,176.547216796875,236.12993621826172,316.90882873535156,502.1465759277344,1021.2374145507814,5185.954814453128,7475.05517578125
mean_256,nonnegative,H3,OFF,85437,405.0773393188128,557.9440041859166,110.5660171508789,114.23077880859375,133.20907592773438,148.00918579101562,209.5458221435547,414.3280944824219,786.4813964843762,3397.907519531249,4394.03125
mean_256,nonnegative,H3,ON,55056,517.25153231406,616.9275548010861,111.09417724609375,130.029386138916,159.3944320678711,190.38230514526367,251.74138641357422,633.06640625,1017.0776977539062,3530.0685424804683,4789.5205078125
mean_256,nonnegative,H5,OFF,7288,845.2866924612504,1155.3441525808907,175.63394165039062,175.75545272827148,176.1798065185547,178.06500625610352,238.8646469116211,660.6499328613281,3272.8445068359383,3827.664873046875,3849.115966796875
mean_256,nonnegative,H5,ON,6431,757.1468134888815,875.9162659113713,176.2158966064453,185.80852966308595,234.1251983642578,308.0342712402344,317.150634765625,735.7937316894531,2367.822509765625,3903.250048828125,4002.38037109375
mean_256,nonnegative,H6,OFF,95226,372.616944639193,537.2508601223581,161.36183166503906,162.96469116210938,165.65006256103516,173.3487548828125,216.93988800048828,291.74556732177734,499.2567901611328,3030.2839965820312,3521.734130859375
mean_256,nonnegative,H6,ON,97563,466.55625504290913,521.1442652405798,164.31280517578125,180.61497619628906,249.67740173339845,307.5395965576172,317.81781005859375,369.16062927246094,612.1477172851565,3237.0045019531253,3959.2685546875
residual_256,signed,pooled,OFF,338730,-33.58941788296454,442.87071523013685,-5927.85107421875,-1593.4477661132812,-148.79869995117184,-68.6423511505127,-2.3943943977355957,0.35627588629722595,6.774900865554813,1532.8331335449234,9928.4013671875
residual_256,signed,pooled,ON,208832,57.00750653630497,495.44294758446597,-5009.90185546875,-1472.1495434570313,-52.93589057922358,-4.657038569450378,16.714948654174805,89.97652244567871,160.05881805419918,2152.7680615234394,8424.9072265625
residual_256,signed,H1,OFF,150779,-28.54471072799788,506.04583067909067,-5927.85107421875,-1589.8972998046875,-175.79701538085936,-55.391305923461914,-1.0835891962051392,0.6432465612888336,10.757177925110042,1469.8721972656256,9928.4013671875
residual_256,signed,H1,ON,49782,89.92603424784085,661.3564986740142,-5009.90185546875,-2002.2357995605469,-225.34704284667964,-5.949170470237732,53.22047805786133,136.09174728393555,220.06374206542972,2894.2781152344046,7001.13916015625
residual_256,signed,H3,OFF,85437,-43.813560933897776,457.8384294887889,-3450.421142578125,-1804.6040673828124,-193.32989196777342,-86.54988098144531,-33.14488220214844,-1.0573903322219849,9.979347229003926,1926.567216796874,5431.52587890625
residual_256,signed,H3,ON,55056,63.94328561910706,570.1043896372529,-3851.965087890625,-1544.1237060546875,-218.50360107421875,13.240406274795532,57.439775466918945,97.38217163085938,167.22499084472656,2734.181433105468,5586.4296875
residual_256,signed,H5,OFF,7288,-95.29875871577522,635.3627349037832,-3661.4736328125,-3038.239658203125,-293.63634948730464,-75.7346019744873,-1.9891148805618286,0.12606674432754517,53.8585987091068,1597.5013537597658,7383.43994140625
