fold,role,house,main_edge_count,rising_edge_count,falling_edge_count,paired_count,candidate_count,expired_rise_count,unmatched_fall_count,contained_exclusion_count,non_finite_main_count,target_diagnostics_json
F2,training,H5,204,104,100,76,60,28,24,16,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":1,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":24,""fridge:duplicate_candidate_count"":36,""fridge:incomplete_one_sample_episode_count"":1,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":12,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":12,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F2,training,H6,842,382,460,276,270,106,184,6,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":1,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":14,""fridge:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""fridge:ambiguous_candidate_left_censored"":4,""fridge:ambiguous_candidate_right_censored"":5,""fridge:complete_episode_count"":162,""fridge:duplicate_candidate_count"":118,""fridge:incomplete_one_sample_episode_count"":10,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":98,""fridge:right_censored_episode_count"":4,""fridge:unmatched_target_episode_count"":64,""microwave:label_unavailable"":270}"
F2,validation,H1,642,293,349,221,200,72,128,21,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:complete_episode_count"":18,""dish washer:duplicate_candidate_count"":5,""dish washer:incomplete_one_sample_episode_count"":1,""dish washer:matched_target_episode_count"":17,""dish washer:unmatched_target_episode_count"":1,""fridge:ambiguous_candidate_incomplete_one_sample"":9,""fridge:ambiguous_candidate_right_censored"":2,""fridge:complete_episode_count"":90,""fridge:duplicate_candidate_count"":75,""fridge:incomplete_one_sample_episode_count"":15,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":42,""fridge:right_censored_episode_count"":3,""fridge:unmatched_target_episode_count"":48,""microwave:ambiguous_candidate_incomplete_one_sample"":13,""microwave:ambiguous_candidate_right_censored"":2,""microwave:complete_episode_count"":45,""microwave:duplicate_candidate_count"":42,""microwave:incomplete_one_sample_episode_count"":15,""microwave:left_censored_episode_count"":1,""microwave:matched_target_episode_count"":36,""microwave:right_censored_episode_count"":1,""microwave:unmatched_target_episode_count"":9}"
F2,validation,H3,1557,690,867,631,579,59,236,52,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:ambiguous_candidate_right_censored"":2,""dish washer:complete_episode_count"":2,""dish washer:duplicate_candidate_count"":3,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:matched_target_episode_count"":2,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":4,""fridge:ambiguous_candidate_right_censored"":2,""fridge:complete_episode_count"":97,""fridge:duplicate_candidate_count"":266,""fridge:incomplete_one_sample_episode_count"":4,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":80,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":17,""microwave:complete_episode_count"":10,""microwave:duplicate_candidate_count"":17,""microwave:matched_target_episode_count"":10,""microwave:unmatched_target_episode_count"":0}"
F2,validation,H5,35,20,15,11,10,9,4,1,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:complete_episode_count"":5,""fridge:duplicate_candidate_count"":2,""fridge:matched_target_episode_count"":2,""fridge:unmatched_target_episode_count"":3,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F2,validation,H6,622,284,338,231,223,53,107,8,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":3,""fridge:complete_episode_count"":49,""fridge:duplicate_candidate_count"":146,""fridge:incomplete_one_sample_episode_count"":4,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":31,""fridge:unmatched_target_episode_count"":18,""microwave:label_unavailable"":223}"
F3,training,H1,1545,698,847,518,488,180,329,30,1,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":12,""dish washer:complete_episode_count"":84,""dish washer:duplicate_candidate_count"":21,""dish washer:incomplete_one_sample_episode_count"":11,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":77,""dish washer:unmatched_target_episode_count"":7,""fridge:ambiguous_candidate_incomplete_one_sample"":16,""fridge:ambiguous_candidate_right_censored"":8,""fridge:complete_episode_count"":230,""fridge:duplicate_candidate_count"":171,""fridge:incomplete_one_sample_episode_count"":32,""fridge:left_censored_episode_count"":6,""fridge:matched_target_episode_count"":112,""fridge:right_censored_episode_count"":7,""fridge:unmatched_target_episode_count"":118,""microwave:ambiguous_candidate_incomplete_one_sample"":40,""microwave:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""microwave:ambiguous_candidate_right_censored"":2,""microwave:complete_episode_count"":96,""microwave:duplicate_candidate_count"":65,""microwave:incomplete_one_sample_episode_count"":39,""microwave:left_censored_episode_count"":1,""microwave:matched_target_episode_count"":74,""microwave:right_censored_episode_count"":2,""microwave:unmatched_target_episode_count"":22}"
F3,training,H3,3099,1379,1720,1234,1181,145,486,53,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:ambiguous_candidate_right_censored"":2,""dish washer:complete_episode_count"":14,""dish washer:duplicate_candidate_count"":37,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:matched_target_episode_count"":14,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":20,""fridge:ambiguous_candidate_right_censored"":3,""fridge:complete_episode_count"":262,""fridge:duplicate_candidate_count"":521,""fridge:incomplete_one_sample_episode_count"":11,""fridge:left_censored_episode_count"":6,""fridge:matched_target_episode_count"":215,""fridge:right_censored_episode_count"":4,""fridge:unmatched_target_episode_count"":47,""microwave:ambiguous_candidate_incomplete_one_sample"":1,""microwave:complete_episode_count"":27,""microwave:duplicate_candidate_count"":82,""microwave:incomplete_one_sample_episode_count"":1,""microwave:matched_target_episode_count"":27,""microwave:unmatched_target_episode_count"":0}"
F3,training,H5,158,85,73,50,47,35,23,3,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":1,""fridge:complete_episode_count"":13,""fridge:duplicate_candidate_count"":26,""fridge:incomplete_one_sample_episode_count"":1,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":7,""fridge:unmatched_target_episode_count"":6,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F3,training,H6,1234,563,671,441,427,122,230,14,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":9,""fridge:ambiguous_candidate_left_censored"":4,""fridge:complete_episode_count"":159,""fridge:duplicate_candidate_count"":251,""fridge:incomplete_one_sample_episode_count"":9,""fridge:left_censored_episode_count"":4,""fridge:matched_target_episode_count"":100,""fridge:right_censored_episode_count"":3,""fridge:unmatched_target_episode_count"":59,""microwave:label_unavailable"":427}"
F3,validation,H1,767,323,444,270,257,53,174,13,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:complete_episode_count"":67,""dish washer:duplicate_candidate_count"":25,""dish washer:incomplete_one_sample_episode_count"":4,""dish washer:matched_target_episode_count"":64,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":3,""fridge:ambiguous_candidate_incomplete_one_sample"":2,""fridge:ambiguous_candidate_left_censored"":3,""fridge:ambiguous_candidate_right_censored"":6,""fridge:complete_episode_count"":75,""fridge:duplicate_candidate_count"":96,""fridge:incomplete_one_sample_episode_count"":10,""fridge:left_censored_episode_count"":3,""fridge:matched_target_episode_count"":42,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":33,""microwave:ambiguous_candidate_incomplete_one_sample"":12,""microwave:complete_episode_count"":37,""microwave:duplicate_candidate_count"":33,""microwave:incomplete_one_sample_episode_count"":14,""microwave:left_censored_episode_count"":1,""microwave:matched_target_episode_count"":31,""microwave:unmatched_target_episode_count"":6}"
F3,validation,H3,467,220,247,181,181,39,66,0,0,"{""dish washer:ambiguous_candidate_left_censored"":2,""dish washer:complete_episode_count"":3,""dish washer:duplicate_candidate_count"":5,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":3,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":8,""fridge:complete_episode_count"":83,""fridge:duplicate_candidate_count"":87,""fridge:incomplete_one_sample_episode_count"":4,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":66,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":17,""microwave:ambiguous_candidate_incomplete_one_sample"":6,""microwave:complete_episode_count"":10,""microwave:duplicate_candidate_count"":36,""microwave:incomplete_one_sample_episode_count"":3,""microwave:matched_target_episode_count"":10,""microwave:unmatched_target_episode_count"":0}"
F3,validation,H5,81,39,42,37,23,2,5,14,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":16,""fridge:duplicate_candidate_count"":12,""fridge:matched_target_episode_count"":7,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":9,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F3,validation,H6,230,103,127,66,66,37,61,0,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":1,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":8,""fridge:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""fridge:ambiguous_candidate_right_censored"":5,""fridge:complete_episode_count"":52,""fridge:duplicate_candidate_count"":13,""fridge:incomplete_one_sample_episode_count"":5,""fridge:matched_target_episode_count"":29,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":23,""microwave:label_unavailable"":66}"
F4,training,H1,1792,799,993,607,567,192,386,40,1,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":8,""dish washer:complete_episode_count"":105,""dish washer:duplicate_candidate_count"":33,""dish washer:incomplete_one_sample_episode_count"":9,""dish washer:matched_target_episode_count"":96,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":9,""fridge:ambiguous_candidate_incomplete_one_sample"":14,""fridge:ambiguous_candidate_left_censored"":3,""fridge:ambiguous_candidate_right_censored"":14,""fridge:complete_episode_count"":238,""fridge:duplicate_candidate_count"":193,""fridge:incomplete_one_sample_episode_count"":32,""fridge:left_censored_episode_count"":7,""fridge:matched_target_episode_count"":116,""fridge:right_censored_episode_count"":7,""fridge:unmatched_target_episode_count"":122,""microwave:ambiguous_candidate_incomplete_one_sample"":35,""microwave:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""microwave:ambiguous_candidate_right_censored"":2,""microwave:complete_episode_count"":109,""microwave:duplicate_candidate_count"":85,""microwave:incomplete_one_sample_episode_count"":39,""microwave:left_censored_episode_count"":2,""microwave:matched_target_episode_count"":88,""microwave:right_censored_episode_count"":2,""microwave:unmatched_target_episode_count"":21}"
F4,training,H3,2421,1090,1331,962,910,128,369,52,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":4,""dish washer:ambiguous_candidate_left_censored"":2,""dish washer:ambiguous_candidate_right_censored"":2,""dish washer:complete_episode_count"":11,""dish washer:duplicate_candidate_count"":22,""dish washer:incomplete_one_sample_episode_count"":2,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":11,""dish washer:right_censored_episode_count"":1,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":20,""fridge:ambiguous_candidate_right_censored"":2,""fridge:complete_episode_count"":253,""fridge:duplicate_candidate_count"":402,""fridge:incomplete_one_sample_episode_count"":10,""fridge:left_censored_episode_count"":7,""fridge:matched_target_episode_count"":210,""fridge:right_censored_episode_count"":4,""fridge:unmatched_target_episode_count"":43,""microwave:ambiguous_candidate_incomplete_one_sample"":6,""microwave:complete_episode_count"":30,""microwave:duplicate_candidate_count"":92,""microwave:incomplete_one_sample_episode_count"":3,""microwave:matched_target_episode_count"":30,""microwave:unmatched_target_episode_count"":0}"
F4,training,H5,173,82,91,68,51,14,23,17,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":1,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":25,""fridge:duplicate_candidate_count"":26,""fridge:incomplete_one_sample_episode_count"":1,""fridge:matched_target_episode_count"":11,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":14,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F4,training,H6,1291,594,697,465,453,129,232,12,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:incomplete_one_sample_episode_count"":3,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":17,""fridge:ambiguous_candidate_incomplete_one_sample+right_censored"":1,""fridge:ambiguous_candidate_left_censored"":4,""fridge:ambiguous_candidate_right_censored"":5,""fridge:complete_episode_count"":164,""fridge:duplicate_candidate_count"":253,""fridge:incomplete_one_sample_episode_count"":14,""fridge:left_censored_episode_count"":3,""fridge:matched_target_episode_count"":108,""fridge:right_censored_episode_count"":3,""fridge:unmatched_target_episode_count"":56,""microwave:label_unavailable"":453}"
F4,validation,H1,520,222,298,181,178,41,117,3,0,"{""dish washer:ambiguous_candidate_incomplete_one_sample"":8,""dish washer:complete_episode_count"":46,""dish washer:duplicate_candidate_count"":13,""dish washer:incomplete_one_sample_episode_count"":6,""dish washer:left_censored_episode_count"":1,""dish washer:matched_target_episode_count"":45,""dish washer:unmatched_target_episode_count"":1,""fridge:ambiguous_candidate_incomplete_one_sample"":4,""fridge:complete_episode_count"":67,""fridge:duplicate_candidate_count"":74,""fridge:incomplete_one_sample_episode_count"":10,""fridge:left_censored_episode_count"":2,""fridge:matched_target_episode_count"":38,""fridge:right_censored_episode_count"":2,""fridge:unmatched_target_episode_count"":29,""microwave:ambiguous_candidate_incomplete_one_sample"":17,""microwave:complete_episode_count"":24,""microwave:duplicate_candidate_count"":13,""microwave:incomplete_one_sample_episode_count"":14,""microwave:matched_target_episode_count"":17,""microwave:unmatched_target_episode_count"":7}"
F4,validation,H3,1145,509,636,453,452,56,183,1,0,"{""dish washer:complete_episode_count"":6,""dish washer:duplicate_candidate_count"":20,""dish washer:matched_target_episode_count"":6,""dish washer:unmatched_target_episode_count"":0,""fridge:ambiguous_candidate_incomplete_one_sample"":8,""fridge:ambiguous_candidate_right_censored"":1,""fridge:complete_episode_count"":92,""fridge:duplicate_candidate_count"":206,""fridge:incomplete_one_sample_episode_count"":5,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":71,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":21,""microwave:ambiguous_candidate_incomplete_one_sample"":1,""microwave:complete_episode_count"":7,""microwave:duplicate_candidate_count"":26,""microwave:incomplete_one_sample_episode_count"":1,""microwave:matched_target_episode_count"":7,""microwave:unmatched_target_episode_count"":0}"
F4,validation,H5,66,42,24,19,19,23,5,0,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:complete_episode_count"":4,""fridge:duplicate_candidate_count"":12,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":3,""fridge:unmatched_target_episode_count"":1,""microwave:complete_episode_count"":0,""microwave:duplicate_candidate_count"":0,""microwave:matched_target_episode_count"":0,""microwave:unmatched_target_episode_count"":0}"
F4,validation,H6,173,72,101,42,40,30,59,2,0,"{""dish washer:complete_episode_count"":0,""dish washer:duplicate_candidate_count"":0,""dish washer:matched_target_episode_count"":0,""dish washer:unmatched_target_episode_count"":0,""fridge:complete_episode_count"":47,""fridge:duplicate_candidate_count"":11,""fridge:left_censored_episode_count"":1,""fridge:matched_target_episode_count"":21,""fridge:right_censored_episode_count"":1,""fridge:unmatched_target_episode_count"":26,""microwave:label_unavailable"":40}"
